ini lat (deg),ini lon (deg),ini alt (m),ini vx_body (m/s),ini vy_body (m/s),ini vz_body (m/s),ini yaw (deg),ini pitch (deg),ini roll (deg)
41.9557,-79.8878,-5.40E-08,0,0,0,0,0,0
command type,yaw (deg),pitch (deg),roll (deg),vx_body (m/s),vy_body (m/s),vz_body (m/s),command duration (s),GPS visibility
1,0,0,0,0,0,319,1,0
1,0,0,0,0,-8.290817112,211.934,1,0
1,0,0,0,-22.21447844,-66.32665354,137.143,1,0
1,0,0,0,-44.42895223,-116.0728134,-52.178,1,0
1,0,0,0,-11.10722961,-16.58386987,-13.33,1,0
1,0,0,0,9.51E-06,-0.002268017,-4.85,1,0
1,0,0,0,11.1072434,-8.293247105,-4.85,1,0
1,0,0,0,-22.21445825,-8.293590509,-4.86,1,0
1,0,0,0,11.1072434,-8.293953346,-4.86,1,0
1,0,0,0,-11.1072201,-16.58557392,-4.88,1,0
1,0,0,0,1.24E-05,-8.294640105,-4.86,1,0
1,0,0,0,-11.10721389,-16.58669479,-4.88,1,0
1,0,0,0,1.57E-05,-16.58736211,-4.87,1,0
1,0,0,0,1.57E-05,-8.295955242,-4.89,1,0
1,0,0,0,-22.21442583,-24.88067365,-4.87,1,0
1,0,0,0,11.10724204,-8.297445261,-4.89,1,0
1,0,0,0,-11.10719719,-24.88226727,-4.88,1,0
1,0,0,0,-11.10719079,-8.29883149,-4.92,1,0
1,0,0,0,2.80E-05,-16.5920004,-4.84,1,0
1,0,0,0,-11.10718147,-24.88567459,-4.9,1,0
1,0,0,0,3.28E-05,-8.301163221,-4.9,1,0
1,0,0,0,-11.10717137,-24.88799986,-4.9,1,0
1,0,0,0,-11.10716322,-16.59650191,-4.9,1,0
1,0,0,0,4.37E-05,-16.59762227,-4.9,1,0
1,0,0,0,4.37E-05,-16.59839926,-4.9,1,0
1,0,0,0,-11.10714866,-8.305709209,-5.3,1,0
1,0,0,0,4.97E-05,-0.01243614,-5,1,0
1,0,0,0,4.97E-05,-8.306712406,-5,1,0
1,0,0,0,4.97E-05,16.57632521,-4.8,1,0
1,0,0,0,11.10722961,-8.306530295,-4.9,1,0
1,0,0,0,-11.10713333,-0.012046017,-4.9,1,0
1,0,0,0,4.97E-05,8.282658475,-4.9,1,0
1,0,0,0,4.97E-05,-8.307526512,-4.9,1,0
1,0,0,0,11.10721738,8.283455771,-4.9,1,0
1,0,0,0,-11.1071211,-8.307545195,-4.9,1,0
1,0,0,0,4.97E-05,8.283475943,-4.9,1,0
1,0,0,0,11.10720826,-8.307952405,-4.9,1,0
1,0,0,0,-11.10711198,8.284266656,-4.9,1,0
1,0,0,0,4.97E-05,-8.308741606,-4.9,1,0
1,0,0,0,4.97E-05,-0.012431141,-4.9,1,0
1,0,0,0,4.97E-05,-0.012430751,-4.9,1,0
1,0,0,0,4.97E-05,-0.012430361,-4.9,1,0
1,0,0,0,4.97E-05,-0.012429971,-4.9,1,0
1,0,0,0,4.97E-05,-8.30998271,-4.9,1,0
1,0,0,0,4.97E-05,-0.012636342,-4.9,1,0
1,0,0,0,4.97E-05,8.285331482,-4.9,1,0
1,0,0,0,4.97E-05,-16.60877755,-4.9,1,0
1,0,0,0,4.97E-05,8.285539417,-4.9,1,0
1,0,0,0,-11.10707161,-0.013029585,-4.9,1,0
1,0,0,0,11.10717409,-8.311838061,-4.9,1,0
1,0,0,0,-11.10706521,-0.013242326,-4.9,1,0
1,0,0,0,11.10716768,-0.0132419,-4.9,1,0
1,0,0,0,-11.1070588,-8.312691101,-5,1,0
1,0,0,0,11.10716128,-0.013454607,-4.8,1,0
1,0,0,0,-11.1070524,-0.013454169,-4.9,1,0
1,0,0,0,5.61E-05,-0.013861416,-5,1,0
1,0,0,0,5.61E-05,-8.314177747,-4.8,1,0
1,0,0,0,5.61E-05,-0.014080499,-4.9,1,0
1,0,0,0,5.61E-05,-0.014080028,-5,1,0
1,0,0,0,5.61E-05,-0.014079558,-4.8,1,0
1,0,0,0,5.61E-05,-8.315275869,-5,1,0
1,0,0,0,-11.10702271,-0.014719136,-4.9,1,0
1,0,0,0,11.10713818,-0.01471863,-4.8,1,0
1,0,0,0,5.61E-05,-8.316167245,-5.1,1,0
1,0,0,0,-11.10701262,8.287151999,-4.9,1,0
