accel_bias_x (m/s^2),accel_bias_y (m/s^2),accel_bias_z (m/s^2)
0.000000000000000000e+00,-6.938893903907228378e-18,8.470329472543003391e-22
-1.535476481612564311e-03,4.637002939217751973e-02,-8.366728230065733480e-05
1.377574696877197340e-03,8.518935578741440584e-02,6.325873050749562299e-05
2.593644840579179000e-05,9.999999633658898657e-02,-7.744858492406680791e-06
-6.816926898125608234e-05,9.999997596564576263e-02,-1.264203452193647413e-05
2.513017073336028750e-04,9.999968415104111552e-02,4.140520186109344073e-06
-3.895961962646130971e-05,9.999999176402914192e-02,-1.137286874673880830e-05
6.300856586760984009e-05,9.999998000037717272e-02,-5.463038896237821970e-06
-3.613508396731323767e-04,9.999934325919922207e-02,-2.780826341276354774e-05
3.843557843963545800e-04,9.999926064818065452e-02,1.185108577354760921e-05
-8.645073704269592161e-04,9.999624822217373366e-02,-5.448390490854764390e-05
2.790840943912074423e-04,9.999961030627668723e-02,7.117658324625536021e-06
2.350510572880697515e-04,9.999972364051989970e-02,4.777040049636841799e-06
2.418562508722538619e-04,9.999970739927818708e-02,5.060895249271253122e-06
-8.767274252159626164e-05,9.999996082009414422e-02,-1.222578648705799604e-05
1.323717315031060237e-04,9.999991238791629267e-02,-3.657398161467312120e-07
-4.405500425841510511e-04,9.999902465204678348e-02,-3.137354489691961075e-05
5.455377543242678892e-04,9.999850957008354913e-02,2.173293621366349348e-05
1.134644463151579372e-04,9.999993562090420118e-02,-1.278451708857017207e-06
-1.506913681216129970e-04,9.999988517907099084e-02,-1.600887856194216385e-05
6.608297062861946615e-05,9.999997806790977828e-02,-4.411185357165862115e-06
1.313449665210453894e-04,9.999991373741100309e-02,-1.005053341457454503e-06
1.959970637248166026e-04,9.999980789074226772e-02,2.639252408265255169e-06
-4.347068783191989554e-05,9.999999001647862096e-02,-1.034424856436302432e-05
1.217637110485918521e-04,9.999992585955549962e-02,-1.296948827683996055e-06
-3.835651740465546118e-04,9.999926004935831558e-02,-2.945060387512853927e-05
1.094075109443797060e-04,9.999994011901081059e-02,-2.488132437368467146e-06
-3.801911623685540328e-04,9.999927289190130297e-02,-2.959343023820858786e-05
-2.586780570552650051e-04,9.999966273670658767e-02,-2.319930459415933568e-05
2.685201643497480686e-04,9.999963933087044343e-02,5.533277967455482905e-06
-6.697005491785429886e-05,9.999997668249649418e-02,-1.336083466719437174e-05
3.068994870135985202e-04,9.999952882082160932e-02,6.951153944057950868e-06
-1.220684903574187569e-04,9.999992405755474267e-02,-1.696369502457485633e-05
-1.120339404124689152e-04,9.999993590329142590e-02,-1.636257326905954913e-05
-2.956988875877731367e-04,9.999955928679735151e-02,-2.654456975190647009e-05
-4.832468231969844295e-04,9.999882547328485527e-02,-3.710082727570787191e-05
1.291977912505590275e-04,9.999991649259787341e-02,-3.066625418497385456e-06
-2.611802929305454037e-05,9.999999595456060542e-02,-1.126660596270491530e-05
-2.615803428944265293e-04,9.999965490868302498e-02,-2.436941767736730530e-05
-2.760672740005179921e-05,9.999999552487187637e-02,-1.152797506329227408e-05
-1.372621692710930036e-05,9.999999844201774846e-02,-1.109898267322427579e-05
-1.527666417672441724e-04,9.999988152969108146e-02,-1.887858345547099414e-05
3.059293861684275078e-04,9.999953180961722310e-02,6.713272808247124611e-06
-4.244313296301861999e-05,9.999999019986881288e-02,-1.259391149778230980e-05
-1.959087382176367411e-04,9.999980574824009205e-02,-2.168134082557562540e-05
-1.236598752074812794e-04,9.999992204754856728e-02,-1.728350293237155083e-05
-2.785656732043920126e-04,9.999960858629611260e-02,-2.614867660577985454e-05
5.475262360321949849e-05,9.999998470013926610e-02,-7.881758825132557800e-06
-3.261491121401512746e-05,9.999999381692126210e-02,-1.314850854694605688e-05
-2.800122876109182647e-04,9.999960435898300193e-02,-2.685452762817848761e-05
-1.101288320197051128e-04,9.999993785000613200e-02,-1.736765011402493565e-05
-2.937982425715519646e-05,9.999999495525264959e-02,-1.207374709179061373e-05
-5.997211340121708805e-05,9.999998101163204423e-02,-1.417811146101929012e-05
1.635821064885674758e-05,9.999999817033519700e-02,-9.916748709069763161e-06
-7.985389014467976368e-05,9.999996693024740257e-02,-1.540472834570510483e-05
-2.670085504641450934e-05,9.999999572520502922e-02,-1.191735359945677390e-05
-1.948624688963568200e-04,9.999980786961119861e-02,-2.132273579506906234e-05
-1.985796236776799732e-04,9.999980041971644196e-02,-2.195791294819483900e-05
