accel_x (m/s^2),accel_y (m/s^2),accel_z (m/s^2)
9.999953791918013701e-01,-1.096783614806482734e-05,-9.780326824399832475e+00
1.900001338280308927e+00,1.312330317573573321e-06,-9.780324004553202499e+00
2.710000324203403199e+00,3.609995292681216111e-06,-9.780323885477978152e+00
3.439001647377257775e+00,-4.378827146090786168e-06,-9.780318623412661339e+00
4.095102843032661255e+00,1.866493699907049842e-06,-9.780330680198270343e+00
4.685595279387599454e+00,6.263347256454978802e-07,-9.780324463341978358e+00
5.217022701753294633e+00,1.314076418730976782e-06,-9.780331446600960987e+00
5.695327246305504687e+00,-4.575965658294498154e-07,-9.780328166312926896e+00
6.125797322353465191e+00,-2.493903020455408860e-06,-9.780320318611927632e+00
6.513212905732622460e+00,1.743026948037500059e-06,-9.780326485510533630e+00
6.861897183583014481e+00,3.129940666501328958e-06,-9.780322507853977498e+00
7.175692888953643767e+00,2.548204569540748763e-06,-9.780322217003680763e+00
7.458127514245922463e+00,-1.484325962533557986e-06,-9.780318344039041989e+00
7.712319409284302374e+00,-4.829333383529494850e-06,-9.780323232516369814e+00
7.941078922307444721e+00,3.482165655889084236e-06,-9.780327488283113269e+00
8.146977269963597834e+00,6.204879334977185785e-06,-9.780324389721748446e+00
8.332283992583091603e+00,-1.240768587053477129e-06,-9.780322146079944545e+00
8.499055156865983562e+00,-7.332517831795870976e-06,-9.780325782682323776e+00
8.649149756046176307e+00,2.883670276880213539e-06,-9.780330604377688530e+00
8.784224960489407152e+00,3.241751050017467220e-06,-9.780332498882456704e+00
8.905807136473256946e+00,5.363806249148990036e-07,-9.780319148896420955e+00
9.015227225462677296e+00,-7.384859515443166799e-06,-9.780326954394618966e+00
9.113701045554758906e+00,-2.689146668483122075e-07,-9.780326868046641309e+00
9.202342031342501727e+00,-1.564554165160819248e-06,-9.780315320446391070e+00
9.282104478769124256e+00,-7.041015994340679411e-06,-9.780323402644999220e+00
9.353897547790179345e+00,-8.508595652644604832e-06,-9.780327405637038396e+00
