Yaw (deg),Pitch (deg),Roll (deg)
-2.429797795083557763e-20,2.953316109333005368e+00,5.400343772234200354e-03
0.000000000000000000e+00,5.610849264761408328e+00,-8.301045559217676284e-02
-7.838347278543151300e-19,7.842947080519509839e+00,8.507853101084220104e-02
0.000000000000000000e+00,1.002134152191604066e+01,7.063490378410355527e-03
-1.239844941355600192e-20,1.188073162122833892e+01,-9.737661601296150127e-04
0.000000000000000000e+00,1.359854013375751336e+01,3.245758128847911483e-02
0.000000000000000000e+00,1.496404913397277170e+01,5.499630320079148659e-04
0.000000000000000000e+00,1.630505934874344476e+01,1.369029798132771411e-02
0.000000000000000000e+00,1.754202942654605479e+01,-4.951346330820175640e-02
1.636850521341842762e-18,1.841806485489558654e+01,6.654478922786538631e-02
3.291351496772251053e-18,1.931949102113201278e+01,-1.424385786143153032e-01
1.655491859078434305e-18,2.026628303196079628e+01,5.496522180052407919e-02
-1.662988564886081244e-18,2.095460949619585023e+01,4.883735865287181649e-02
0.000000000000000000e+00,2.157588508006791983e+01,5.189812575993727611e-02
4.191398267945964176e-19,2.213403705581625758e+01,-1.342733311385788803e-02
-8.414539586289536789e-19,2.265951028702156833e+01,3.187261407546591180e-02
-3.375416731299388636e-18,2.304674519388885301e+01,-8.941282053569327148e-02
3.387142106510308240e-18,2.350858304946887856e+01,1.235149416611718842e-01
0.000000000000000000e+00,2.380892722778817472e+01,2.941759538759593229e-02
0.000000000000000000e+00,2.413147074084023913e+01,-2.950620792980988144e-02
-8.533568959214803922e-19,2.450309510860355289e+01,1.978494852359088257e-02
3.420634857999382895e-18,2.476662900652099708e+01,3.529545912787125650e-02
0.000000000000000000e+00,2.491434645978871742e+01,5.064912269342850687e-02
-2.146232057429983628e-19,2.524462409401394325e+01,-5.817168387426741027e-03
-1.720784265389870363e-18,2.551154771447512104e+01,3.403680655354252710e-02
3.445684355989660329e-18,2.565458482309763610e+01,-8.867884563829940558e-02
1.724710590889043718e-18,2.578351613624465344e+01,3.170691062295399182e-02
-6.910010151416086013e-18,2.597455029339820953e+01,-8.916966178114232866e-02
-1.729306165888941029e-18,2.609694283734550879e+01,-5.930630757107211576e-02
3.459373831912512984e-18,2.612267947145350888e+01,7.227616745844633872e-02
4.327558785422368371e-19,2.621275093389727218e+01,-1.123629661465261852e-02
0.000000000000000000e+00,2.633887310059868980e+01,8.307196411043878126e-02
-8.665625889301981404e-19,2.635352128643483383e+01,-2.492841495055113724e-02
0.000000000000000000e+00,2.642403098669767303e+01,-2.252306582117612199e-02
0.000000000000000000e+00,2.655446758539540042e+01,-6.946379165863489358e-02
3.473420705553219092e-18,2.659128264180929335e+01,-1.173428034914093393e-01
