Yaw (deg),Pitch (deg),Roll (deg)
-1.871135122164049066e-04,2.953092320798563097e+00,5.506980651322683148e-03
-2.212028701247564951e-04,2.956036633695815485e+00,5.297844329697935957e-03
3.004301627608467400e-05,2.963541788629441065e+00,5.206800898475973452e-03
8.401743679002624562e-05,2.975893609387146199e+00,5.212882358126028244e-03
-1.355626799893723598e-04,2.992695879953986893e+00,5.155215675444299768e-03
-1.882985755520957751e-04,3.008202194991819400e+00,5.343112014586510507e-03
-4.659493224559985961e-04,3.022371761626803544e+00,5.036213142584465390e-03
-5.465446364796622053e-04,3.035480307906817554e+00,4.953986354973624780e-03
-4.013130293087427002e-04,3.046911311523667898e+00,4.931896315971039980e-03
-1.633317443376036638e-04,3.057696011672796921e+00,4.758025548719129090e-03
-1.219559405604911118e-04,3.067790213536055965e+00,4.491805367219298128e-03
-2.523493167074695141e-04,3.076748688970187384e+00,4.501859862997361489e-03
-4.070658826841184173e-04,3.085135822659808458e+00,4.569147509774486478e-03
-4.390628600901312693e-04,3.092627128903837175e+00,4.290834061440465010e-03
-7.862130659187943106e-04,3.099893404067119107e+00,4.316948300450473668e-03
-8.823358946260796394e-04,3.106362597780541801e+00,4.277252596403974434e-03
-8.643010602583057686e-04,3.112338155353687075e+00,4.543712046988792295e-03
-1.243798329980828638e-03,3.117355641269411670e+00,4.273086297160925799e-03
-1.081586043503694619e-03,3.122516173738500100e+00,4.462390589779703480e-03
-8.971775504796924072e-04,3.126856674041032846e+00,4.595797649224715210e-03
-6.169415255526995321e-04,3.131353744743543555e+00,4.692832524096009726e-03
-1.067391100453727367e-03,3.135430255241376418e+00,4.639321708272389592e-03
-1.376991370637674133e-03,3.139038790559215197e+00,4.560889621659831514e-03
-1.441649974769218176e-03,3.142747197069764020e+00,4.573668351104984847e-03
-1.697799069818465732e-03,3.145870624776432312e+00,4.795384338746126393e-03
-1.972364544380863192e-03,3.149204112910805708e+00,4.874537456404003967e-03
-2.228087150488779113e-03,3.152202512806215218e+00,4.959321076440004541e-03
-2.429394953421131625e-03,3.155205705051829401e+00,5.122154382564941821e-03
-2.300985116925511990e-03,3.158086432150794209e+00,5.318381595871073467e-03
-2.394265811543282683e-03,3.160803545200369769e+00,5.536253779622350712e-03
-2.196361313491683107e-03,3.163723122336598692e+00,5.736639211607641106e-03
-2.258006235711100280e-03,3.165989734737631789e+00,5.850871640485703212e-03
-2.239149777366079667e-03,3.168139190227357016e+00,5.822054599860239724e-03
-2.482445923858895859e-03,3.170509235800508918e+00,5.824202399958072415e-03
