q0 (),q1,q2,q3
9.996679052351837846e-01,4.711123922402705218e-05,2.576969192202201858e-02,-1.214445431837925353e-06
9.988012458159203355e-01,-7.235346274070258163e-04,4.894432139811613625e-02,3.545541367196321914e-05
9.976584427551403733e-01,7.407118908022699644e-04,6.838918311490643775e-02,-5.077557505108781690e-05
9.961784470447649920e-01,6.140501922297516657e-05,8.734127228246126029e-02,-5.383766853593287240e-06
9.946301512125335087e-01,-8.452081386706106957e-06,1.034932955641166552e-01,8.794563044564592804e-07
9.929669766293105493e-01,2.812537633357625180e-04,1.183913134290181385e-01,-3.353384677626171807e-05
9.914857626156535764e-01,4.758470177375521019e-06,1.302151393172942262e-01,-6.249457939259778275e-07
9.898940541156059369e-01,1.182630269666659769e-04,1.418088408858784177e-01,-1.694195727721756347e-05
9.883055565341903881e-01,-4.270334950666529309e-04,1.524858689352233954e-01,6.588708636632187809e-05
9.871108818009216579e-01,5.732280240886301328e-04,1.600367764073203913e-01,-9.293542074433699832e-05
9.858208403708509371e-01,-1.225386867789310863e-03,1.677966793912708532e-01,2.085732406583807393e-04
9.844014649142037721e-01,4.721800581930215234e-04,1.759361412533188285e-01,-8.438989617156661047e-05
9.833269258658473566e-01,4.190805419457317325e-04,1.818460206670075574e-01,-7.750029709061495358e-05
9.823265612015222858e-01,4.448923754024339196e-04,1.871745763790830797e-01,-8.477073224853112754e-05
9.814033171062812588e-01,-1.149965096044503350e-04,1.919570666651010393e-01,2.249268193374656999e-05
9.805127286133356046e-01,2.727208257454347617e-04,1.964553681241659744e-01,-5.464229953721910771e-05
9.798429968961139824e-01,-7.645462245131904363e-04,1.997675964869254361e-01,1.558735043858729423e-04
9.790296479976097199e-01,1.055268273815778693e-03,2.037149639466737383e-01,-2.195785784364467214e-04
9.784928856019703414e-01,2.511957134997217715e-04,2.062804084801537208e-01,-5.295567821866024584e-05
9.779083878009880992e-01,-2.518018701348336084e-04,2.090337742262014520e-01,5.382415769012889730e-05
9.772253606390758351e-01,1.687240649540096792e-04,2.122040638481006714e-01,-3.663835763410506683e-05
9.767347251337757941e-01,3.008450356457879676e-04,2.144508844632789235e-01,-6.605323054505875095e-05
9.764574207083867030e-01,4.315912563482846628e-04,2.157097823053228391e-01,-9.534307792369431031e-05
9.758317376323460968e-01,-4.953748416305846464e-05,2.185232647852735632e-01,1.109319604097440720e-05
9.753200322295491054e-01,2.896965581337082357e-04,2.207957121563139391e-01,-6.558232759368850075e-05
9.750434187616648929e-01,-7.545559447701764410e-04,2.220129110132651462e-01,1.718089252205285745e-04
9.747932610628489147e-01,2.697204214324877428e-04,2.231098868861241813e-01,-6.173339016630747904e-05
9.744197052507717061e-01,-7.582468885678286547e-04,2.247345823375602458e-01,1.748777214713562493e-04
9.741792802563804532e-01,-5.041818234575165059e-04,2.257752467968628940e-01,1.168488982763576787e-04
9.741284845060692588e-01,6.144107245493960878e-04,2.259940217250493710e-01,-1.425408997277447009e-04
9.739507364212942608e-01,-9.550092075336754293e-05,2.267596820636311183e-01,2.223496283435242945e-05
9.737003183435283260e-01,7.058740866859317597e-04,2.278314388321217854e-01,-1.651640713002490229e-04
