q0 (),q1,q2,q3
9.996679555118826999e-01,4.808359038041724941e-05,2.576773956753011796e-02,-2.870663675143885428e-06
9.996672931913929139e-01,4.626682217538122352e-05,2.579342499604706310e-02,-3.122209248167060760e-06
9.996656017521147186e-01,4.541593571019479061e-05,2.585889808444756868e-02,-9.128871686124575630e-07
9.996628086127772317e-01,4.545660269761069743e-05,2.596665188102247404e-02,-4.483052243325344497e-07
9.996589904621733247e-01,4.500329452209787481e-05,2.611322954547944108e-02,-2.357379415839128488e-06
9.996554476401555700e-01,4.665451484787202851e-05,2.624850126196793740e-02,-2.866549531171588754e-06
9.996521944088508915e-01,4.404119843604498093e-05,2.637211115276688611e-02,-5.223795203929474168e-06
9.996491710936157293e-01,4.334284683858977735e-05,2.648646481285298060e-02,-5.912882981653167175e-06
9.996465239954706039e-01,4.311680926714375430e-05,2.658618406497336231e-02,-4.645119443170559525e-06
9.996440175008256546e-01,4.154485332365986185e-05,2.668026503653981099e-02,-2.532638412520950789e-06
9.996416634917540955e-01,3.921283893653975463e-05,2.676832212385549595e-02,-2.113160293733106389e-06
9.996395677514247069e-01,3.933109887756921830e-05,2.684647142936200798e-02,-3.256063689944965986e-06
9.996376001104529951e-01,3.995451111938390864e-05,2.691963646980001165e-02,-4.624408265425744966e-06
9.996358382233443418e-01,3.753434936885690032e-05,2.698498670100242525e-02,-4.840592759627363812e-06
9.996341250620207619e-01,3.784427632511024633e-05,2.704837365248299180e-02,-7.877472387939611384e-06
9.996325964763620453e-01,3.752105915941973571e-05,2.710480729050155496e-02,-8.708720244802882523e-06
9.996311816056925315e-01,3.984157342216866225e-05,2.715693465787937314e-02,-8.616477436303665862e-06
9.996299916161355270e-01,3.757115662783756804e-05,2.720070420351752838e-02,-1.186447836101900259e-05
9.996287655945066408e-01,3.918440965498876029e-05,2.724572169013735404e-02,-1.049610970999188547e-05
9.996277328329890022e-01,4.030458305350051234e-05,2.728358567235091015e-02,-8.920669287102318259e-06
9.996266613211357566e-01,4.108450160258325580e-05,2.732281548016686143e-02,-6.500763249929957121e-06
9.996256886853551737e-01,4.072540148405441726e-05,2.735837628986808115e-02,-1.041888150330389660e-05
