gps_lat (deg),gps_lon (deg),gps_alt (m),gps_vN (m/s),gps_vE (m/s),gps_vD (m/s)
-4.073658390422947585e-07,-3.389280122280924398e-06,-5.885271924353818740e+00,-5.466755125333760089e-03,-7.469472422067911788e-02,3.090196057534945473e-02
-4.305940157942505012e-05,9.305462719439206134e-06,-5.055971374440608734e+00,3.912305785900103694e-01,-4.719476740587602581e-02,-6.073811974649857837e-02
9.928882492791172166e-05,6.797036973888116913e-05,8.192598854197074232e+00,1.173478799982997867e+00,2.060503664637898091e-03,-5.285696880957380106e-02
-1.143864048204266097e-05,2.383062032520977204e-05,4.707513515296990469e+00,2.171132539259211125e+00,3.350185198405557230e-02,7.043758801120873769e-02
-1.550352030224777200e-06,-5.941723992141917496e-05,3.477381372177997143e+00,3.063611854026587977e+00,6.670911021079246883e-02,1.905338532283723171e-02
5.834708961185004040e-05,4.001122609255027419e-05,-3.009502818522823642e+00,4.096235487982977652e+00,3.315341359993092402e-02,5.366475927332922669e-02
5.449528618650328698e-05,-2.869971322649392796e-05,8.154435046704751500e+00,5.049973920502397462e+00,6.979692247365842234e-03,-9.500891619349223841e-03
-1.912684677294471388e-05,9.305975682806181409e-06,9.555618034374813163e+00,6.168051181842711728e+00,-4.724180742372709185e-02,5.453718420481525053e-02
2.262438669422873360e-05,4.839281315986422031e-06,3.125370973994636148e-01,7.118702137867607860e+00,-3.075447027986685442e-02,-3.878645513545453394e-02
-3.315408308590419271e-05,6.633554464626047274e-05,-8.116294300975244624e+00,8.058339244379483901e+00,6.259800891611992830e-03,-3.626615297730979154e-02
2.237838176650369242e-05,7.074586931066453249e-06,-1.067464243970834126e+01,9.089153030667032951e+00,6.823329813541079147e-02,3.611699272562701041e-03
-3.263809842675399921e-05,-2.657034094568273919e-05,-8.611815147055231989e+00,1.011598666331279617e+01,3.326646955939366324e-02,3.758355804849908971e-02
5.875675558563697698e-05,-3.032033576718123782e-05,-2.119170627806798546e+00,1.104494412049731800e+01,-6.079252449220504118e-02,3.565078887565463570e-03
8.515638134035483791e-05,2.099362637567362975e-05,-7.066609294082008219e+00,1.206536916384752445e+01,-5.759985548597729155e-02,-6.599632220061042720e-02
5.956496158861174982e-05,-6.577020707920179716e-05,5.200540192286779995e-01,1.304049829310063480e+01,-1.195218437274152001e-01,2.750780300883107904e-02
8.895775577039844860e-05,9.703311924032207466e-05,-6.192528183208314552e+00,1.412687827981585365e+01,-2.685912963207142193e-02,-1.371887552198067586e-02
5.460773601188476074e-05,9.086062089857465491e-05,-2.193972199171638771e+00,1.514707120035482468e+01,4.833969249040456773e-02,-3.436413474184906586e-02
9.989611643728679431e-05,-1.248353304788718684e-04,-4.144179368749540515e+00,1.609330029775683002e+01,6.514162100127399158e-02,1.432081053153914235e-02
1.746724741883343883e-04,4.377211789875050938e-05,7.429348393743631540e+00,1.706795813534704109e+01,-8.477606105949435367e-02,-9.679183279187831765e-03
1.056287344001769147e-04,2.911144963990221527e-05,-9.674113388600268593e+00,1.809714069094688327e+01,-1.057516514322429241e-01,-2.229586327348136165e-02
1.571744600661437337e-04,-3.210875318565622846e-06,5.499671456005678749e+00,1.906731703746021012e+01,8.911157841153911907e-02,2.527017748174513467e-02
2.117432178432597295e-04,-6.079849947106126100e-05,-3.482964351760704513e-01,2.015960447557246837e+01,-4.494617700066842053e-02,-3.802895353479035512e-02
1.739841401622992405e-04,-2.660675709665736549e-05,3.260742195992829551e+00,2.113090733313038427e+01,1.786202109835668614e-02,-7.211612388427001558e-03
2.113082229979539278e-04,2.320967431004972092e-06,-6.790776929489248381e-01,2.207408321572777510e+01,-2.576327932486747324e-02,-7.873141728315513621e-02
1.749446938509913760e-04,-3.131207885044226953e-05,8.430297845129267387e+00,2.307679420851484764e+01,-9.818692912506900294e-02,2.309864416992851374e-02
3.055358905687273864e-04,3.231997566114249408e-05,-1.163509090372502053e+00,2.401366202089640822e+01,3.443567453500353398e-02,1.477038810700394972e-02
2.734567751583672282e-04,-1.104838345605821836e-05,-9.428831296351486202e+00,2.509622122797993526e+01,7.273488303904700192e-02,3.930166009672653171e-02
3.190006447168065276e-04,7.039050495179883294e-06,-4.292038445405770730e+00,2.616449203172406968e+01,-5.294481841154900260e-03,1.753532045533732694e-02
2.803271254399177588e-04,1.351051154077025069e-05,-6.063056567658892781e+00,2.716975993647814391e+01,-2.260637414723444885e-02,6.410306152129817414e-02
3.687053889975606589e-04,-5.479809577965140789e-05,1.644674669168400172e+01,2.810506170555433059e+01,7.907470609676668302e-03,1.586844984249185728e-02
3.340208456412641839e-04,-1.634099328530686310e-06,9.760879085382281772e+00,2.907946908882091819e+01,6.569227858793513786e-02,4.279770495045920331e-02
4.447761486097278477e-04,-2.171244120715888552e-06,-1.385040158259428189e+01,3.010299904809435034e+01,9.368815476017550159e-02,-1.757990022917376577e-02
4.284173258176455969e-04,-1.516573870855832233e-05,5.824138560682616372e+00,3.108556265413039910e+01,-1.045425400581700831e-01,3.019229950435076137e-02
4.806466398766332253e-04,-7.999086843977144850e-06,-3.093051781742236495e-01,3.202714370234518526e+01,2.279973972599064203e-02,3.398734978293724979e-02
5.347484772106783461e-04,1.542404343852613226e-05,-5.784814417034228384e+00,3.307481069818707908e+01,1.556511740685136841e-02,5.102097738485700251e-02
5.580959374871968023e-04,9.513476440243848306e-05,2.139695802104059741e+00,3.410104446474036877e+01,-1.128272619977274127e-01,-7.611788608838845199e-03
5.529539093166916221e-04,5.938945646243419264e-05,-3.442338494379622027e+00,3.507979919827968729e+01,1.095456284379654754e-01,6.186856570007220196e-02
5.573940598015942422e-04,-4.802486720206893678e-05,7.261680953198347943e+00,3.618138178132048921e+01,-2.476471312017066752e-03,-6.703759790261047680e-02
6.478287206120105250e-04,-2.726058516828630383e-05,-2.451170876728845371e+00,3.711053410746701076e+01,-1.796202986097734586e-02,-6.156563410576483542e-02
7.076797219102091410e-04,-5.110715296515383260e-05,2.473780844256036282e+00,3.805574017451760938e+01,-1.702831842192335104e-02,-1.308286371472393295e-01
7.138154891485373440e-04,4.099986397318548657e-05,-6.486482328111545570e+00,3.909096667159146676e+01,6.896813744761846887e-02,5.419414086630448824e-02
7.348444701131653153e-04,-7.093435463036237898e-06,-1.050779177160977990e-01,4.009552953296429223e+01,1.965311724198249514e-03,-1.317365262485159505e-01
7.459490696311659418e-04,-6.892524192191585805e-05,7.699957434793049060e+00,4.117238186163992708e+01,-6.189927107825620584e-02,-1.768210858918058126e-02
8.335665244216711222e-04,-7.165085150843813310e-06,1.377974713330399226e+01,4.210547418220137672e+01,-4.181409393097446775e-02,5.620797142430649512e-02
8.258684183418119312e-04,3.056765075042310552e-05,-9.084607991058669896e+00,4.322595275436572138e+01,-1.888921382900029047e-02,1.990542136354025993e-02
8.754821285986426034e-04,3.258947344519404888e-05,-1.321598463466401974e+00,4.418132667215021314e+01,1.770377145277969577e-02,-4.020812563071073792e-02
9.478259972994145053e-04,-1.080515211538619742e-05,1.857681427499283000e+00,4.503278909599926294e+01,-3.446742200723985211e-02,4.873344083877945154e-02
9.346009905035854593e-04,-8.130162771465010169e-05,1.139840714396567556e+01,4.603175435395219495e+01,-2.048284732023662735e-02,-3.031506633948413340e-02
1.003733951225282278e-03,-1.270719051184864745e-05,-2.669087958125405446e+00,4.709994714503658031e+01,2.099832822103496824e-02,-6.802986322294432564e-02
1.031583256663463682e-03,-3.454529757503538187e-05,-6.252131600191848104e-01,4.805630786664937659e+01,1.617271489799809378e-02,1.509411444765623028e-02
1.039765301884876475e-03,-2.555192352398132831e-05,8.938837386703967880e+00,4.906105304038921133e+01,-8.708038990148392333e-02,-5.451130573776041127e-02
1.078738878145465291e-03,5.500235417772332943e-05,-1.190665129770789754e+01,5.007641032505075884e+01,-1.238000760768616787e-01,9.158706873577523999e-02
1.126312088128719789e-03,-2.659701844578428426e-05,2.635484242122305698e+00,5.097612280212364055e+01,-5.284671003497831698e-03,5.481963653222084176e-02
1.226998523390895055e-03,2.903282712083783354e-05,-1.355716485386635251e+00,5.211322958988512255e+01,-1.596275881092801968e-02,-4.477482130957680800e-02
1.191733504296335752e-03,-5.280997854441728500e-05,8.875707720076002616e+00,5.308259129080380490e+01,2.396630842605244199e-02,7.432680926839291269e-02
1.359209980437392625e-03,1.827638849363169993e-05,-2.511632843248358338e+00,5.408662895902833867e+01,-4.400293727817302519e-02,5.861854392786781075e-03
1.348970753804075700e-03,1.464890497922650000e-05,-8.820862731470356932e-01,5.516774869418901517e+01,4.302447903199635437e-02,6.022421576035274365e-02
1.394028860151403726e-03,-2.253875906741360360e-05,-1.092663786924064340e+01,5.599760833504412716e+01,1.102188791861069550e-02,-3.560766440425511964e-03
1.600883538439486133e-03,4.181020850983054396e-05,-2.354299842235524909e-01,5.707506511127531468e+01,-2.001722093998975840e-02,3.095401978416404548e-02
1.472270196722280959e-03,-1.779791252696314444e-05,-7.085020704414370485e+00,5.803761125069602400e+01,6.274508539757447934e-02,7.404119211708527770e-02
1.537055774191067002e-03,-1.199258118151144314e-05,6.087895020571974847e+00,5.910417924729970451e+01,3.793528322675154135e-02,-6.324148771588165852e-02
1.659381244655623155e-03,9.464829201978872716e-06,1.578970158544474645e+00,6.008955552209639706e+01,6.133326363438936640e-03,-1.215830253339070383e-01
1.718173082336167971e-03,5.508059671656126893e-05,-3.800823647623886359e+00,6.112834867413859286e+01,3.813713987580653365e-03,1.394083689599652856e-02
1.722221323692933476e-03,4.540768830760249098e-05,3.168040562155544637e-01,6.207226678240680684e+01,-6.199134578543727403e-02,-1.059735226770607171e-02
1.837079582980493016e-03,-3.898805460571777473e-05,9.324686526693980682e+00,6.298715673172777940e+01,-3.391493224941063978e-02,4.541338628533220234e-02
1.883820653086738794e-03,-3.116415592368112716e-05,7.716142538134752371e+00,6.399406830151359316e+01,4.055337230218361566e-02,-5.386314736645986256e-02
1.901153332271339176e-03,-1.593301299392153265e-05,7.733654519944376915e+00,6.513649917181376736e+01,-4.096229937019074674e-02,3.577967928671482029e-02
1.902487020964006804e-03,-3.947418770274039684e-05,5.124024017535837583e-01,6.611459904410524757e+01,-3.489431703206696822e-02,-1.029908148371644905e-01
2.049320824160725217e-03,-5.640410495271384151e-06,-8.856255547184424870e+00,6.710078023753507637e+01,-2.807703373268645441e-02,4.674368543908521967e-02
2.072611084173503048e-03,6.336366364393383673e-06,-4.511773085521285642e-01,6.817991505143881170e+01,1.654714115326889889e-02,3.521466881524072667e-02
2.155356398653326261e-03,7.854303376835888753e-05,7.330488254390594705e+00,6.907452465049755119e+01,-1.282210070734775232e-03,5.051369527577034835e-02
2.229206001218841070e-03,6.672279421164362427e-05,-1.768926158127048787e+00,7.007186929087852434e+01,-3.367185408982738964e-02,7.060800984498051547e-03
2.245174252883673158e-03,1.854404313839415686e-05,-1.589773127272069253e+01,7.105954740107900136e+01,7.135511616399325963e-02,-2.469381289479626734e-02
2.339811895465821953e-03,3.187799200931303934e-05,5.833493173233515350e+00,7.211929853851030714e+01,7.665146111049658817e-02,4.887256891251445107e-02
2.406202845189521315e-03,3.888121050543705205e-05,1.184234861594169352e+00,7.309120576495654120e+01,3.189970832317356314e-02,-8.585924731538369103e-02
2.406738095833067023e-03,-1.700238045780885017e-05,5.677272589473101316e-01,7.406618974194780947e+01,2.474717380677539814e-03,-3.810702760325938854e-02
2.544794288922306181e-03,-5.065451127536641759e-05,-8.163019293732764581e+00,7.512118998601754072e+01,-8.882685157006629806e-02,2.603164094640076504e-02
2.603070264330077654e-03,-2.554566344826139651e-05,1.417616583081566795e+00,7.608589571773222815e+01,-4.328107117670173393e-02,-5.759561737431484474e-02
2.637755994715342087e-03,-2.822118681305874557e-05,9.748895287786714103e-01,7.712850511426347566e+01,2.291716633669833858e-02,-2.107518278859204890e-03
2.813496278952466127e-03,1.976753621318248056e-05,-6.385491933476049597e-01,7.809376283402649221e+01,-9.693608928432445593e-02,-1.455793891836692500e-01
2.813231796972900239e-03,-3.810771862357815729e-06,1.081575633955579008e+01,7.908513658882131381e+01,2.102972759012869050e-02,6.223747037721834297e-02
2.891790323272644316e-03,-1.460531866189023034e-05,-1.164326657636057405e+01,8.007835546593310028e+01,-4.989868169056280167e-02,-1.118350444691134093e-01
