gyro_x (deg/s),gyro_y (deg/s),gyro_z (deg/s)
1.162770266778503057e-02,-2.238063200560502439e-02,-1.868437134596628163e-02
-1.189630152402922775e-02,2.742186591859922112e-02,-2.950391142185304020e-03
-1.033259335756820177e-02,1.834164559871408196e-02,2.509400925559258227e-02
2.458443505036714423e-04,-3.367431230717534644e-03,5.387623937134927189e-03
-4.301573904256558029e-03,-1.692606039643550567e-02,-2.190788604437160850e-02
1.934671423975236129e-02,7.961235916527132500e-03,-5.252355567710253158e-03
-2.896848734123599889e-02,1.331183276671502567e-02,-2.771269805463945010e-02
-7.559903448119175209e-03,3.233059774565091860e-02,-8.033019119559316190e-03
-2.739854980269702551e-03,-2.282031716670960761e-02,1.452343638414325087e-02
-1.845488035218939560e-02,1.388562810361517776e-02,2.378107325128115193e-02
-2.660833880928231351e-02,3.603054725084064991e-02,4.151597075847706514e-03
1.905332571952133040e-03,4.527408118815709134e-03,-1.299887501700840511e-02
7.733513326208141248e-03,2.125106950974350872e-02,-1.543195840674521299e-02
-2.751118504872672454e-02,-1.864194289077333476e-03,-3.176732919434063426e-03
4.630228813069599617e-03,3.544445088008438965e-02,-3.464843828944597082e-02
-3.321741562242477418e-03,9.565162278604211199e-03,-9.582073797158412176e-03
2.669384338740089790e-02,8.641003021853100458e-03,1.815972137292800942e-03
-2.489487222209385217e-02,-4.358017999688758304e-02,-3.787730950995186335e-02
1.814182156977412613e-02,9.952947337701646344e-03,1.620855378039665062e-02
1.243469073435343047e-02,-3.675388552534741143e-02,1.842685127747724708e-02
8.264975882006283039e-03,1.066477864274058968e-02,2.798975249014847358e-02
-2.808643663550695283e-03,-2.818168163607983299e-03,-4.496963466947327681e-02
-6.082151309778665443e-03,-2.389912438363397604e-02,-3.090451539067792103e-02
1.700350920635576666e-03,9.228064758459924438e-03,-6.449664861277620322e-03
2.363669830651232012e-02,-2.845282556811211394e-02,-2.556819538322759391e-02
9.504649883758835641e-03,1.128401312466898072e-02,-2.741007289078730216e-02
9.956908760793985527e-03,-5.372540436179702901e-03,-2.552815076450835538e-02
1.748405970686963892e-02,1.026835926042721052e-02,-2.009577174590203991e-02
1.902009795113623544e-02,1.166414692765625587e-02,1.282561163214817820e-02
2.238570418195038464e-02,7.570392550072627645e-03,-9.311443440692771314e-03
1.903232614876046447e-02,3.885660919773008259e-02,1.975890701549734216e-02
1.182865810157105770e-02,-1.651485046507126381e-02,-6.152646143537802634e-03
-2.914596776246541638e-03,-1.930065765240083359e-02,1.885851391828809436e-03
1.636190819683326029e-03,1.078612237207043911e-02,-2.429188711973186143e-02
9.961690173273890503e-03,3.039513194361816856e-02,-2.663592228489490218e-02
-6.494852718128121816e-03,-1.649784377166737398e-02,3.823080115338491070e-02
-2.418007978663907348e-02,1.970089652585529927e-02,7.565131665784403416e-03
-6.199812208957888827e-04,-2.817275051893373961e-02,3.814644319590510674e-02
8.706349333832946041e-03,3.475122964205905329e-02,2.416690887759122275e-03
1.872828306173722132e-02,-1.455032715287213861e-02,1.758790242519180091e-02
4.997701180058804031e-03,-1.743235054776275453e-02,-4.399144026411097586e-02
-3.015846011302377849e-03,5.662475196317726112e-02,-1.675585439388889040e-03
-3.571677044328041770e-03,-2.170247352184644790e-02,-2.995062793065495291e-02
2.959856331502782809e-02,-8.151372198790409959e-03,1.698733258538877647e-02
-2.281881406787727995e-02,-2.466795715797281963e-02,2.678287461574343012e-02
1.014820222324586130e-02,-2.760731782265653939e-04,4.347182596532787185e-02
1.952061306087784012e-02,-4.536991258260739124e-02,-5.674724626835941574e-03
2.263781445785366733e-02,-4.482716354924768699e-03,-4.686763633843030186e-03
-5.754524061957210640e-03,-2.398994935391404303e-03,-1.779535779905310616e-02
-2.583851138762268893e-04,1.794041343990294621e-02,9.278137999113707235e-03
-4.318509426259865835e-02,-2.178422575681141990e-02,-2.468096517110032750e-02
2.258869466354268551e-02,-8.826586943088262846e-03,-9.375146191602288072e-04
9.462205549298696380e-04,8.127624362200158064e-04,-3.776842707766878398e-03
4.923813420801113547e-03,1.312758822086829320e-02,1.431713633306950367e-02
-3.036362655902900484e-02,-4.706836059294798071e-03,2.198769673960438570e-02
-1.686223323234153351e-03,-1.487692932941455867e-02,5.706850981064755766e-03
2.512594867910894134e-02,-5.309322399733305831e-02,-1.401204784128950130e-02
1.147909140135686991e-02,-3.400875656115694839e-02,1.790647092524740502e-03
-2.170008080919028429e-02,-6.471331576220299212e-03,-9.065998900024404422e-03
1.088189200530898133e-03,-2.132314440436961639e-02,6.306602693903881965e-03
7.003161895606306933e-03,3.750832880113731671e-02,3.147643470815092090e-03
2.334064344858106585e-02,-5.685403565568424890e-03,-2.475776537157833510e-02
5.941944966119770341e-03,2.858395572076372938e-03,-1.377541874277422515e-02
-2.091715822428185170e-02,9.189336668009612241e-03,-1.934843724338088100e-02
9.288862222654931111e-03,-3.461131258108079978e-02,-9.920265841752968702e-03
-1.039232540656450342e-03,-1.609034375187126447e-03,9.730597468906632824e-03
-8.402622068516011006e-04,7.463652071438998253e-03,-2.289332978207388181e-02
-2.656503749669801573e-02,1.330889317008315635e-02,3.639333084541210642e-03
1.602328406322876125e-02,3.221633982512326494e-02,-5.110902455117084277e-03
-8.525620834380392282e-03,9.159130861070308507e-03,1.915661105329125036e-02
-1.487782183128655983e-02,-8.597047209644513143e-04,-3.048602676362419453e-02
2.412546765920545091e-03,1.650419424495566667e-02,2.055656090738153599e-02
-1.999591212960130995e-02,5.158172951993076488e-02,2.174928174769790931e-02
8.783896309297661506e-03,-1.992661253784992759e-02,-6.910791320828259254e-02
-3.338449044174602448e-02,3.216604717992884409e-03,-4.117522290354563158e-02
1.634249634851932947e-02,-2.491021671310104674e-03,1.814947838985260520e-03
-1.504134839982402931e-02,-6.773235202756663735e-03,2.103655704466782933e-04
1.807569434471230710e-02,-2.088288377825557596e-02,1.309408346214472468e-02
-1.169012113945438851e-02,2.461390587391316595e-02,-5.744542416964443926e-03
2.942260920383642925e-03,2.845838107675034961e-03,-1.216584856685508885e-02
-1.309637247237363175e-02,4.427504910498356039e-03,-8.168925361312152564e-03
2.457968592442733372e-02,3.518870375565305857e-04,-1.381479107128602210e-02
1.243277994800021796e-02,2.688818473441137100e-02,1.155842203112217303e-02
2.764760706236225885e-02,1.119467147816845095e-05,-1.503385111469269890e-02
-1.350108024881936479e-02,3.075834678987211107e-02,1.339944427572858660e-03
1.612456718761695260e-02,-1.378798710540159005e-02,-1.128518966551981563e-02
5.271350582361539888e-02,-2.912052498112611965e-03,8.172425370305720638e-03
4.569905378686828917e-02,1.300871943432645346e-02,1.782890256107240792e-02
1.282973421379155453e-02,-1.371929387162617101e-02,-3.356851241687545256e-02
2.452900271248978359e-02,-2.287000103845579242e-03,-1.254878221464889379e-02
1.105168705352695818e-02,1.496112292358457718e-02,-1.572297460826131655e-03
-5.474649039551932744e-03,-1.724650266776309518e-02,-1.103367685531443133e-02
1.212791774028371822e-02,-1.381362030381836324e-02,2.347995696081111791e-02
2.075153215340713037e-02,8.174517741076780739e-03,-1.913667959566325502e-02
3.151588001781823606e-02,5.897277617814599207e-03,-1.147236321121352688e-02
6.556315969586088560e-03,4.244552371436880779e-03,4.064473257155969431e-05
