mag_x (uT),mag_y (uT),mag_z (uT)
2.756998454905395235e+01,-2.176352869369380549e+00,-1.639840645406880526e+01
2.756998453743687350e+01,-2.177502960800853149e+00,-1.639655502491635630e+01
2.757167217610786025e+01,-2.175104318113001867e+00,-1.639893964338729404e+01
2.757111201591504823e+01,-2.177156031191152863e+00,-1.639706885887025933e+01
2.756969445629757942e+01,-2.175757639723195247e+00,-1.639828395108898818e+01
2.756825672340407252e+01,-2.175990288869721567e+00,-1.639882928127083872e+01
2.756931135039085490e+01,-2.176858871878176505e+00,-1.639885978306747560e+01
2.756996687608954133e+01,-2.176910203435862279e+00,-1.639472395375976888e+01
2.756912648982743619e+01,-2.175007534531079756e+00,-1.639791742017309417e+01
2.757064893013039963e+01,-2.178482565899140244e+00,-1.639774176241751391e+01
2.757075417120216798e+01,-2.175585576724083037e+00,-1.639812633511996154e+01
2.756724555522686160e+01,-2.176317221249432610e+00,-1.639803072873143819e+01
2.756971979023458275e+01,-2.176825299570956052e+00,-1.639843528715067222e+01
2.756981332081114999e+01,-2.173540449463064128e+00,-1.639786634634080542e+01
2.757081804203095388e+01,-2.175544528958860635e+00,-1.639586300823689058e+01
2.757044012073842865e+01,-2.176760364955627303e+00,-1.639674741514510004e+01
2.756974524597229248e+01,-2.174875369966164484e+00,-1.639708669424116749e+01
2.757064685037547846e+01,-2.176918166902819696e+00,-1.639836959977372643e+01
2.757000549373804077e+01,-2.177094222113528321e+00,-1.639785506299756435e+01
2.757071798975615806e+01,-2.176171859466639713e+00,-1.639864336537911527e+01
2.756983072325938267e+01,-2.177297419345382234e+00,-1.639830878135372316e+01
2.756802739029936689e+01,-2.177663804497464550e+00,-1.639613786797580275e+01
2.757003129328404256e+01,-2.175921116877775230e+00,-1.639704381351045370e+01
2.756815124705260089e+01,-2.177820493232583310e+00,-1.639796118161823202e+01
2.757088643117766580e+01,-2.176464803542929261e+00,-1.639753896701134295e+01
2.757087080021443981e+01,-2.176222959334781493e+00,-1.639644893856398511e+01
2.756950638394541997e+01,-2.176149570785518073e+00,-1.639760407431777267e+01
2.757084291955828093e+01,-2.176771814950116291e+00,-1.639786350838061679e+01
2.756835990315962803e+01,-2.179364906444068772e+00,-1.639687650607941549e+01
2.756934028597009245e+01,-2.175256040875125585e+00,-1.639776916267798157e+01
2.756924107867042650e+01,-2.177668931517712458e+00,-1.639647119469573866e+01
2.756902271246395131e+01,-2.178424954608160213e+00,-1.639733426649593540e+01
2.757140333717798697e+01,-2.176442776504489363e+00,-1.639731753369763823e+01
2.756793941956641802e+01,-2.176105338445301740e+00,-1.639786361416456373e+01
2.756855779117413618e+01,-2.177317731477270257e+00,-1.639561064612506769e+01
2.756798370031694034e+01,-2.175896510815097162e+00,-1.639797341359551908e+01
2.757104809146851920e+01,-2.175553701088239311e+00,-1.639986061302430898e+01
2.756974277216991354e+01,-2.176346858156660513e+00,-1.639774906958649225e+01
2.757037556374176290e+01,-2.176207715619412397e+00,-1.639728639392212273e+01
2.757036226980035210e+01,-2.175974060822538636e+00,-1.639858630482965651e+01
2.756917724112478751e+01,-2.175461157650471211e+00,-1.639891043883132582e+01
2.756962605210464901e+01,-2.176081463256358095e+00,-1.639699226531472931e+01
2.756976909416633958e+01,-2.177771814931247718e+00,-1.639611066046311905e+01
2.757008606883490032e+01,-2.176122243454090555e+00,-1.639690172066731577e+01
2.756822898898590779e+01,-2.175763474972013611e+00,-1.639759731576781121e+01
2.757027428646155442e+01,-2.177483410575715261e+00,-1.639623514138002491e+01
2.756988450504358212e+01,-2.175076030380266534e+00,-1.639851541596734918e+01
2.756973813303164533e+01,-2.175670934866258843e+00,-1.639736140957443666e+01
2.756868557987400337e+01,-2.177003686958829398e+00,-1.639712436134434981e+01
2.757020291628817077e+01,-2.175969105572868934e+00,-1.639749756480133058e+01
2.756916743717955498e+01,-2.177385382051261864e+00,-1.639810774583339636e+01
2.757040299034289177e+01,-2.177076714716574823e+00,-1.639672115949622011e+01
2.757068844851509226e+01,-2.175805203001956123e+00,-1.639767958514169877e+01
2.757151503726898412e+01,-2.175380909898481097e+00,-1.639765457918695191e+01
2.756922686797566868e+01,-2.177176749187707649e+00,-1.639657007015068046e+01
2.756901063534555618e+01,-2.177201535994228720e+00,-1.639706653133792358e+01
2.756999708529649951e+01,-2.177803163542441300e+00,-1.639465120742868010e+01
2.757112672113149543e+01,-2.176797317685296385e+00,-1.639752083188597354e+01
2.756891549763118832e+01,-2.174944859005037756e+00,-1.639678304529666519e+01
2.756805516973856385e+01,-2.177676719540302841e+00,-1.639694349272648921e+01
2.756877403959569861e+01,-2.176421885397323841e+00,-1.639575098003366094e+01
2.756972530078036598e+01,-2.175649866540111610e+00,-1.639757886892827088e+01
2.756844738458999089e+01,-2.176667693956696681e+00,-1.639860867596874172e+01
2.757125383191628387e+01,-2.175997501755046581e+00,-1.639779377401718463e+01
2.757015891064414603e+01,-2.175964617128702816e+00,-1.639797621976491016e+01
2.756954823495956575e+01,-2.176745714748412830e+00,-1.639783003836531705e+01
2.757080353741205769e+01,-2.176778152960826773e+00,-1.639927664610252833e+01
2.756886619696774687e+01,-2.174171223685821275e+00,-1.639686027397994650e+01
2.756902458959362434e+01,-2.177004854115143218e+00,-1.639846596388021638e+01
2.757055944978762341e+01,-2.177867837243565141e+00,-1.639893591145412799e+01
2.756938117170432179e+01,-2.175647031979452972e+00,-1.639755696545470798e+01
2.756993716614379508e+01,-2.175663268856464772e+00,-1.639867638412709994e+01
2.756918876264560581e+01,-2.177178753923315835e+00,-1.639741878763652494e+01
2.757003771147196503e+01,-2.177572026762812474e+00,-1.639801837268516849e+01
2.756993211024042267e+01,-2.176194178398061396e+00,-1.639746463947143695e+01
2.756966457327868980e+01,-2.176005952730760473e+00,-1.639826124570319976e+01
2.756987602003912841e+01,-2.175029978051802981e+00,-1.639675921561677541e+01
2.757083102956521969e+01,-2.176437148869955873e+00,-1.639927694838875638e+01
2.756907623535870400e+01,-2.176630961875149595e+00,-1.639774341943277136e+01
2.757094440442376992e+01,-2.175685649647268960e+00,-1.639657922964729408e+01
2.757121582645739721e+01,-2.176753126566818075e+00,-1.639763907607501281e+01
2.756941337455706531e+01,-2.175413918624013121e+00,-1.639818364588322908e+01
2.756978231041428629e+01,-2.178082105223350773e+00,-1.639787910759380907e+01
2.757003439090044594e+01,-2.176960941851681763e+00,-1.639927983874746431e+01
2.756955993057133725e+01,-2.177107766048109294e+00,-1.639769997776973653e+01
2.757098009100511149e+01,-2.176334109303813324e+00,-1.639754389904411269e+01
2.756944325500256099e+01,-2.178557772271623172e+00,-1.639771315403167762e+01
2.757005714415549136e+01,-2.176894069077280669e+00,-1.639588715786269901e+01
2.757026365848734173e+01,-2.176475779884039952e+00,-1.639660650193544100e+01
2.756930762027586113e+01,-2.177600263886272369e+00,-1.639702883516314458e+01
2.757114232907137463e+01,-2.176770014779149776e+00,-1.639856743565445996e+01
2.757041665240073769e+01,-2.177363436004296382e+00,-1.639884406343278300e+01
2.757064931657998841e+01,-2.175512705066781738e+00,-1.639629507028475430e+01
2.756742738486442335e+01,-2.177537219828065140e+00,-1.639735113256037735e+01
2.756885390557854976e+01,-2.178282177390608698e+00,-1.639864008805870199e+01
2.756941441231630563e+01,-2.174577539335956544e+00,-1.639690495306164308e+01
2.756977716931713474e+01,-2.177104009077393432e+00,-1.639834371736553820e+01
2.756806819035852385e+01,-2.176725229214542257e+00,-1.639910346869087476e+01
2.757067220427722631e+01,-2.177152463340213728e+00,-1.639873288284121600e+01
2.756771344360247511e+01,-2.177537997435405437e+00,-1.639871040117971290e+01
2.757060811583183124e+01,-2.177274234127952290e+00,-1.639932345131690639e+01
2.756943725045282889e+01,-2.176468756502516921e+00,-1.639783882057036024e+01
2.756808266596601698e+01,-2.175673963569164648e+00,-1.639955971489917630e+01
2.756793753564689098e+01,-2.173916163329861373e+00,-1.639870785747210391e+01
2.756970579884779227e+01,-2.174144771077887839e+00,-1.639734711316437199e+01
2.757049451317986311e+01,-2.174732228528014399e+00,-1.639787131943005249e+01
2.756755998976839805e+01,-2.176773543518442544e+00,-1.639788336483161757e+01
2.756960681376827793e+01,-2.177492676246236769e+00,-1.639764543187159163e+01
2.756873288355469498e+01,-2.175401482879163684e+00,-1.639689417844297736e+01
2.756875729369161121e+01,-2.178613097967836865e+00,-1.639690784079749619e+01
2.757062812338735469e+01,-2.175868352577498221e+00,-1.639720603743239025e+01
2.756886192294669158e+01,-2.176428478700024538e+00,-1.639827306309040011e+01
2.756975071124050203e+01,-2.176076759200388011e+00,-1.639736101310410277e+01
2.756916393331058401e+01,-2.176371685984728188e+00,-1.639812467388809836e+01
2.757048086871147063e+01,-2.177250785462185423e+00,-1.639771062408659930e+01
2.756909912999506673e+01,-2.174860926951359019e+00,-1.639663639567329056e+01
2.756940857296551783e+01,-2.175666634915623288e+00,-1.639804253161534220e+01
2.757069416128843642e+01,-2.175990577350340072e+00,-1.639608110385445983e+01
2.756968245983961197e+01,-2.177047502655794275e+00,-1.639719416922583406e+01
2.757094188070611551e+01,-2.175803125421500894e+00,-1.639759694373832133e+01
2.756991704008878941e+01,-2.177553787978270705e+00,-1.639870573132924036e+01
2.756946357415178994e+01,-2.176957129557436144e+00,-1.639642157529319277e+01
2.756990876224264397e+01,-2.177107450900896080e+00,-1.639798977290700321e+01
2.757081292629047553e+01,-2.176821059572783934e+00,-1.639798774891812272e+01
2.756769785828575436e+01,-2.175597404737220852e+00,-1.639620143319404022e+01
2.757157364645903996e+01,-2.175945379392118628e+00,-1.639676467978800645e+01
2.756977658033879663e+01,-2.177861204663326777e+00,-1.639550741649361498e+01
2.756931806456362821e+01,-2.174978077689607492e+00,-1.639718369402512010e+01
2.757000736359766080e+01,-2.176725056276386461e+00,-1.639842268054980678e+01
2.756994053392190835e+01,-2.175988178537685336e+00,-1.639668593676233144e+01
2.756883989433422499e+01,-2.176074341288126490e+00,-1.639745786271828010e+01
2.757067325546924508e+01,-2.176069430544990801e+00,-1.639939077790762312e+01
2.756861127853603577e+01,-2.177318629030190245e+00,-1.639658272806197559e+01
2.756774047334212696e+01,-2.175844481780159878e+00,-1.639792464091955893e+01
2.756825436478916203e+01,-2.177723433456786317e+00,-1.639655667445408938e+01
2.756985554945807593e+01,-2.174828212632682778e+00,-1.639684095558741816e+01
2.756954692439045118e+01,-2.176746550670747293e+00,-1.639859972851363779e+01
2.756985755034390806e+01,-2.178282663622721049e+00,-1.639704147896431152e+01
2.757008651395713983e+01,-2.177356780968931371e+00,-1.639648898516936271e+01
2.756944459317008267e+01,-2.175282130310779660e+00,-1.639756386758021378e+01
2.757067170630764963e+01,-2.178148230942473784e+00,-1.639688645150141610e+01
2.756976772432683020e+01,-2.176089187062267616e+00,-1.639799806677761396e+01
2.756991522656640470e+01,-2.176018841844677532e+00,-1.639694196284714423e+01
2.757025923419137925e+01,-2.176574128180146062e+00,-1.639803889176497975e+01
2.757047484375392443e+01,-2.176185003003956009e+00,-1.639893411429686054e+01
2.757088910000466342e+01,-2.175855345874093683e+00,-1.639677263960864551e+01
2.756992040800706789e+01,-2.176491183436120025e+00,-1.639686358065316085e+01
2.756988952921540914e+01,-2.176516388723436890e+00,-1.639710243991811822e+01
2.756970701824933911e+01,-2.176338971943184930e+00,-1.639761956048168301e+01
2.757058830006083738e+01,-2.179058381541541412e+00,-1.639749727940803581e+01
2.757056002034689612e+01,-2.178869983663290544e+00,-1.639784814368220367e+01
2.756994127873100098e+01,-2.175997876824195654e+00,-1.639686869823480464e+01
2.756788320935698522e+01,-2.176264455308037693e+00,-1.639703752922720525e+01
2.756986174291026970e+01,-2.176688334243743750e+00,-1.639683621820871551e+01
2.756742423924155716e+01,-2.177705709142848001e+00,-1.639581836216523669e+01
2.757059634962984163e+01,-2.176183507060267086e+00,-1.639639821351080684e+01
2.757085262946794302e+01,-2.176323669774078873e+00,-1.639945012683140746e+01
2.756801502027721540e+01,-2.175420629210340184e+00,-1.639651925814492017e+01
2.756890912001192362e+01,-2.176247188389560883e+00,-1.639890962815221798e+01
2.757146623622314152e+01,-2.176934265020335602e+00,-1.639709329823326911e+01
2.756979891391873494e+01,-2.178317663534363735e+00,-1.639622239365157697e+01
2.757070705041813596e+01,-2.177091875074025129e+00,-1.639749789637041744e+01
2.756897921266003237e+01,-2.177387977785741224e+00,-1.639698811896780484e+01
2.756727725177709942e+01,-2.177565702651180768e+00,-1.639690346297192391e+01
2.757058167152507977e+01,-2.176242765236949595e+00,-1.639817358433947092e+01
2.757091846226305520e+01,-2.175298300516013583e+00,-1.639749801530289020e+01
2.756818949112177108e+01,-2.177607919123818903e+00,-1.639776696067659145e+01
2.756906822710908855e+01,-2.175797324104757902e+00,-1.639895166698398299e+01
2.757117957710482870e+01,-2.176778494651047779e+00,-1.639734227773620034e+01
2.756829980765717991e+01,-2.176784423151152836e+00,-1.639726897583446075e+01
2.757045476038456044e+01,-2.176996955200413808e+00,-1.639867451439026524e+01
2.756990784622741586e+01,-2.176574619895245366e+00,-1.639751191768259986e+01
2.757110918383769871e+01,-2.176801306543927339e+00,-1.639753848197436170e+01
2.756943622863272125e+01,-2.177047462832480740e+00,-1.639966907770756777e+01
2.756778382144042183e+01,-2.176162166065708892e+00,-1.639635978551369888e+01
2.756951808513946034e+01,-2.177963875783898828e+00,-1.639707228318380672e+01
2.756878391899527614e+01,-2.174667334496562798e+00,-1.639861658968770186e+01
2.756889818932055292e+01,-2.176345910238755010e+00,-1.639722129490419178e+01
2.756828608337849218e+01,-2.176548154270369295e+00,-1.639738215229609963e+01
2.756947755861725469e+01,-2.177636916106793219e+00,-1.639817331378831611e+01
2.756805394005225907e+01,-2.176776278269193732e+00,-1.639779893306062419e+01
2.756984483668981056e+01,-2.176223417720776432e+00,-1.639798620798521611e+01
2.757175942724100892e+01,-2.175485385679328143e+00,-1.639665225272598548e+01
2.756969995641349058e+01,-2.178710938936337715e+00,-1.639755084063863677e+01
2.757002455151431519e+01,-2.177886526674571943e+00,-1.639802620542403488e+01
2.756963597499113661e+01,-2.175711263841292098e+00,-1.639851820198163068e+01
2.756894324194819745e+01,-2.176747696313600322e+00,-1.639720577387728540e+01
2.757036644316733387e+01,-2.177046460375260839e+00,-1.639706978807329207e+01
2.757084492965618239e+01,-2.177959294979914695e+00,-1.639702410398259502e+01
2.756787462012773560e+01,-2.176546726655963049e+00,-1.639686905183425836e+01
2.757158892843668241e+01,-2.177718466687438514e+00,-1.639771024439452063e+01
2.757025861087392471e+01,-2.176544067231888313e+00,-1.639545119355221559e+01
2.756879382202878759e+01,-2.175507158852727940e+00,-1.639726437493791522e+01
2.757039842570156551e+01,-2.176653130803142044e+00,-1.639821535758716919e+01
2.757072802234595343e+01,-2.177544050285421751e+00,-1.639801930858843448e+01
2.756927298413929250e+01,-2.177720302804904140e+00,-1.639840389759493533e+01
2.757014554477484225e+01,-2.175905701077998522e+00,-1.639926584863286507e+01
2.756998656012555315e+01,-2.175090028307069101e+00,-1.639758775003325653e+01
2.756841013032743248e+01,-2.177513484535031019e+00,-1.639688491343169474e+01
2.757175823949746629e+01,-2.176643142072068660e+00,-1.639564101036621580e+01
2.756831939345608973e+01,-2.176953324425076719e+00,-1.639809570362800883e+01
2.756975447665279333e+01,-2.176793234333488147e+00,-1.639622405524428572e+01
2.757218903017270506e+01,-2.176156676949234647e+00,-1.639676278571648993e+01
2.756953839199062273e+01,-2.175626304065091166e+00,-1.639627352223976686e+01
2.756944504726753209e+01,-2.175659464113475661e+00,-1.639778788639805995e+01
2.756976394963155741e+01,-2.174660204868689384e+00,-1.639795229549032030e+01
2.756924612285246567e+01,-2.176576749274917955e+00,-1.639848674331902956e+01
