ref_accel_x (m/s^2),ref_accel_y (m/s^2),ref_accel_z (m/s^2)
9.999999999999997780e-01,0.000000000000000000e+00,-9.780325335900000638e+00
1.899999999999999467e+00,0.000000000000000000e+00,-9.780325335884215932e+00
2.709999999999999076e+00,-6.675822277675042478e-17,-9.780325335767255268e+00
3.438999999999999169e+00,-5.036562607353524371e-16,-9.780325335403237119e+00
4.095099999999999518e+00,-1.981015500584070262e-15,-9.780325334607518073e+00
4.685589999999999478e+00,-5.615548660207539593e-15,-9.780325333173001567e+00
5.217030999999999530e+00,-1.301224678755432191e-14,-9.780325330882229551e+00
5.695327899999999666e+00,-2.627899206669814014e-14,-9.780325327516187883e+00
6.125795109999999433e+00,-4.802181057805082482e-14,-9.780325322860567994e+00
6.513215598999999578e+00,-8.132680862521622846e-14,-9.780325316710067440e+00
6.861894039100000064e+00,-1.297333685161599884e-13,-9.780325308871217871e+00
7.175704635189999792e+00,-1.972020322883024535e-13,-9.780325299164070785e+00
7.458134171671000345e+00,-2.880796087139787851e-13,-9.780325287423051961e+00
7.712320754503900311e+00,-4.070633471297544607e-13,-9.780325273497208372e+00
7.941088679053510013e+00,-5.591654889279861147e-13,-9.780325257250002124e+00
8.146979811148158390e+00,-7.496791001872430934e-13,-9.780325238558802425e+00
8.332281830033341663e+00,-9.841457800027152258e-13,-9.780325217314162600e+00
8.499053647030006431e+00,-1.268325607204996776e-12,-9.780325193418986984e+00
8.649148282327004722e+00,-1.608169516325315043e-12,-9.780325166787607216e+00
8.784233454094303895e+00,-2.009794168402520978e-12,-9.780325137344837216e+00
8.905810108684873327e+00,-2.479459292876728923e-12,-9.780325105025042376e+00
9.015229097816385817e+00,-3.023547414973148152e-12,-9.780325069771217628e+00
9.113706188034747413e+00,-3.648545842040376064e-12,-9.780325031534122360e+00
9.202335569231273382e+00,-4.361030757093575066e-12,-9.780324990271447305e+00
9.282102012308145689e+00,-5.167653254284719596e-12,-9.780324945947063142e+00
9.353891811077330587e+00,-6.075127146041772501e-12,-9.780324898530302846e+00
9.418502629969598416e+00,-7.090218372762103167e-12,-9.780324847995320425e+00
9.476652366972638575e+00,-8.219735851352446258e-12,-9.780324794320499393e+00
9.528987130275375250e+00,-9.470523607161339556e-12,-9.780324737487921638e+00
9.576088417247838436e+00,-1.084945404388133198e-11,-9.780324677482891360e+00
9.618479575523055658e+00,-1.236342221701076038e-11,-9.780324614293506968e+00
9.656631617970750980e+00,-1.401934098787305208e-11,-9.780324547910273836e+00
9.690968456173676415e+00,-1.582413694657377460e-11,-9.780324478325768567e+00
9.721871610556309662e+00,-1.778474700333691688e-11,-9.780324405534342347e+00
9.749684449500678696e+00,-1.990811555820205966e-11,-9.780324329531850935e+00
9.774716004550610293e+00,-2.220119216895726375e-11,-9.780324250315425516e+00
9.797244404095549086e+00,-2.467092964635599068e-11,-9.780324167883271969e+00
9.817519963685994000e+00,-2.732428251408832956e-11,-9.780324082234484351e+00
9.835767967317394778e+00,-3.016820577864462234e-11,-9.780323993368904567e+00
9.852191170585655300e+00,-3.320965396114008380e-11,-9.780323901286976707e+00
9.866972053527090836e+00,-3.645558034939523307e-11,-9.780323805989636909e+00
9.880274848174382285e+00,-3.991293643412804037e-11,-9.780323707478212114e+00
