ref_gps_lat (deg),ref_gps_lon (deg),ref_gps_alt (m),ref_gps_vN (m/s),ref_gps_vE (m/s),ref_gps_vD (m/s)
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.231655399938899591e-07,0.000000000000000000e+00,0.000000000000000000e+00,4.138105960899999269e-01,0.000000000000000000e+00,0.000000000000000000e+00
8.054142830701348400e-07,0.000000000000000000e+00,0.000000000000000000e+00,1.209418989131512134e+00,0.000000000000000000e+00,0.000000000000000000e+00
2.271638623801648511e-06,0.000000000000000000e+00,0.000000000000000000e+00,2.138152042447694079e+00,0.000000000000000000e+00,0.000000000000000000e+00
4.600253691518469361e-06,0.000000000000000000e+00,0.000000000000000000e+00,3.113302794647290650e+00,0.000000000000000000e+00,0.000000000000000000e+00
7.818601151195632879e-06,0.000000000000000000e+00,0.000000000000000000e+00,4.104638397686587226e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.193621445192637132e-05,0.000000000000000000e+00,0.000000000000000000e+00,5.101617309269923517e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.695641770186929353e-05,0.000000000000000000e+00,0.000000000000000000e+00,6.100563920873397272e+00,0.000000000000000000e+00,0.000000000000000000e+00
2.288036994587184684e-05,0.000000000000000000e+00,0.000000000000000000e+00,7.100196627050476827e+00,0.000000000000000000e+00,0.000000000000000000e+00
2.970847531788346592e-05,0.000000000000000000e+00,0.000000000000000000e+00,8.100068559613243124e+00,0.000000000000000000e+00,0.000000000000000000e+00
3.744087473069919746e-05,0.000000000000000000e+00,0.000000000000000000e+00,9.100023905259000401e+00,0.000000000000000000e+00,0.000000000000000000e+00
4.607761731757263574e-05,0.000000000000000000e+00,0.000000000000000000e+00,1.010000833524842179e+01,0.000000000000000000e+00,0.000000000000000000e+00
5.561872021020996696e-05,0.000000000000000000e+00,0.000000000000000000e+00,1.110000290632141962e+01,0.000000000000000000e+00,0.000000000000000000e+00
6.606418938206779054e-05,0.000000000000000000e+00,0.000000000000000000e+00,1.210000101337162270e+01,0.000000000000000000e+00,0.000000000000000000e+00
7.741402691596160749e-05,0.000000000000000000e+00,0.000000000000000000e+00,1.310000035334084068e+01,0.000000000000000000e+00,0.000000000000000000e+00
8.966823353812427341e-05,0.000000000000000000e+00,0.000000000000000000e+00,1.410000012320233687e+01,0.000000000000000000e+00,0.000000000000000000e+00
1.028268095017774940e-04,0.000000000000000000e+00,0.000000000000000000e+00,1.510000004295800480e+01,0.000000000000000000e+00,0.000000000000000000e+00
1.168897548952142084e-04,0.000000000000000000e+00,0.000000000000000000e+00,1.610000001497853361e+01,0.000000000000000000e+00,0.000000000000000000e+00
1.318570697492201882e-04,0.000000000000000000e+00,0.000000000000000000e+00,1.710000000522269659e+01,0.000000000000000000e+00,0.000000000000000000e+00
1.477287540745297802e-04,0.000000000000000000e+00,0.000000000000000000e+00,1.810000000182104785e+01,0.000000000000000000e+00,0.000000000000000000e+00
1.645048078748857453e-04,0.000000000000000000e+00,0.000000000000000000e+00,1.910000000063496373e+01,0.000000000000000000e+00,0.000000000000000000e+00
1.821852311515931647e-04,0.000000000000000000e+00,0.000000000000000000e+00,2.010000000022139588e+01,0.000000000000000000e+00,0.000000000000000000e+00
2.007700239051068882e-04,0.000000000000000000e+00,0.000000000000000000e+00,2.110000000007719834e+01,0.000000000000000000e+00,0.000000000000000000e+00
2.202591861355855077e-04,0.000000000000000000e+00,0.000000000000000000e+00,2.210000000002692389e+01,0.000000000000000000e+00,0.000000000000000000e+00
2.406527178430841547e-04,0.000000000000000000e+00,0.000000000000000000e+00,2.310000000000939124e+01,0.000000000000000000e+00,0.000000000000000000e+00
2.619506190276220739e-04,0.000000000000000000e+00,0.000000000000000000e+00,2.410000000000327702e+01,0.000000000000000000e+00,0.000000000000000000e+00
2.841528896892059060e-04,0.000000000000000000e+00,0.000000000000000000e+00,2.510000000000114539e+01,0.000000000000000000e+00,0.000000000000000000e+00
3.072595298278375754e-04,0.000000000000000000e+00,0.000000000000000000e+00,2.610000000000040643e+01,0.000000000000000000e+00,0.000000000000000000e+00
3.312705394435179495e-04,0.000000000000000000e+00,0.000000000000000000e+00,2.710000000000014708e+01,0.000000000000000000e+00,0.000000000000000000e+00
