ref_gyro_x (deg/s),ref_gyro_y (deg/s),ref_gyro_z (deg/s)
4.178074132240403027e-03,0.000000000000000000e+00,0.000000000000000000e+00
4.178074132240403027e-03,-4.521847385251910377e-08,0.000000000000000000e+00
4.178074132240403027e-03,-1.311335741723054056e-07,-3.297383114570623345e-14
4.178074132240403027e-03,-2.536756383126321167e-07,-1.285979414682542909e-13
4.178074132240403027e-03,-4.091819698914452778e-07,-3.135811341956662044e-13
4.178074132240403027e-03,-5.943561421648962622e-07,-6.119613322331618250e-13
4.178074132240403027e-03,-8.062313710635214201e-07,-1.045372666195439019e-12
4.178074132240403027e-03,-1.042137550924802847e-06,-1.633285853635725796e-12
4.178074132240403027e-03,-1.299671586652475488e-06,-2.393224540351927677e-12
4.178074132240403027e-03,-1.576670692659899723e-06,-3.340960007562159410e-12
4.178074132240403027e-03,-1.871188361919100839e-06,-4.490686408362724164e-12
4.178074132240403027e-03,-2.181472738104900998e-06,-5.855178480540294210e-12
4.178074132240403027e-03,-2.505947150524640509e-06,-7.445933488102876891e-12
4.178074132240403027e-03,-2.843192595554925245e-06,-9.273298968657674535e-12
4.178074132240403027e-03,-3.191931969934700134e-06,-1.134658770605117626e-11
4.178074132240403027e-03,-3.551015880729016244e-06,-1.367418120574521333e-11
4.178074132240403027e-03,-3.919409874296420174e-06,-1.626362282265544111e-11
4.178074132240403027e-03,-4.296182942359603396e-06,-1.912170157620594381e-11
4.178074132240403027e-03,-4.680497177468986625e-06,-2.225452758387840205e-11
4.178074132240403027e-03,-5.071598462919951046e-06,-2.566759995140632920e-11
4.178074132240403027e-03,-5.468808093678337525e-06,-2.936586787394988567e-11
4.178074132240403027e-03,-5.871515235213404786e-06,-3.335378562715320616e-11
4.178074132240403027e-03,-6.279170136447484159e-06,-3.763536205909602220e-11
4.178074132240403027e-03,-6.691278021410675025e-06,-4.221420513305010125e-11
4.178074132240402160e-03,-7.107393591730065388e-06,-4.709356201596000752e-11
4.178074132240402160e-03,-7.527116078870036231e-06,-5.227635515807587785e-11
4.178074132240402160e-03,-7.950084791148528826e-06,-5.776521476462281153e-11
4.178074132240402160e-03,-8.375975106051693626e-06,-6.356250802030343086e-11
4.178074132240402160e-03,-8.804494863317057819e-06,-6.967036539135003127e-11
4.178074132240402160e-03,-9.235381118708407564e-06,-7.609070429737176462e-11
4.178074132240402160e-03,-9.668397222413137700e-06,-8.282525041601678679e-11
4.178074132240402160e-03,-1.010333018959991662e-05,-8.987555685716849237e-11
4.178074132240402160e-03,-1.053998833392053658e-05,-9.724302141972194811e-11
4.178074132240401292e-03,-1.097819913766161227e-05,-1.049289021226826262e-10
4.178074132240401292e-03,-1.141780733488110136e-05,-1.129343311831555628e-10
4.178074132240401292e-03,-1.185867318623116079e-05,-1.212603275965351973e-10
4.178074132240401292e-03,-1.230067092629873287e-05,-1.299078084586766079e-10
4.178074132240400425e-03,-1.274368736621206801e-05,-1.388775991558493122e-10
4.178074132240399557e-03,-1.318762063598658602e-05,-1.481704425356958653e-10
4.178074132240399557e-03,-1.363237905263617166e-05,-1.577870071610945775e-10
4.178074132240399557e-03,-1.407788010147331699e-05,-1.677278947386359537e-10
4.178074132240398690e-03,-1.452404951927927178e-05,-1.779936468042514458e-10
4.178074132240398690e-03,-1.497082046915714527e-05,-1.885847507402793682e-10
4.178074132240398690e-03,-1.541813279789975237e-05,-1.995016451908241265e-10
4.178074132240397823e-03,-1.586593236762062124e-05,-2.107447249355797890e-10
4.178074132240396955e-03,-1.631417045422191775e-05,-2.223143452762709576e-10
4.178074132240396955e-03,-1.676280320601560386e-05,-2.342108259844497897e-10
4.178074132240395221e-03,-1.721179115648244096e-05,-2.464344548545132399e-10
4.178074132240395221e-03,-1.766109878575511497e-05,-2.589854909014184922e-10
4.178074132240394353e-03,-1.811069412595303982e-05,-2.718641672386271442e-10
4.178074132240392619e-03,-1.856054840598368873e-05,-2.850706936682544889e-10
4.178074132240391751e-03,-1.901063573186379473e-05,-2.986052590122043779e-10
4.178074132240391751e-03,-1.946093279900840803e-05,-3.124680332101903708e-10
