ref_pos_lat (deg),ref_pos_lon (deg),ref_pos_alt (m)
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
4.521847385251910501e-10,0.000000000000000000e+00,0.000000000000000000e+00
1.763520480248244754e-09,0.000000000000000000e+00,0.000000000000000000e+00
4.300276863374566062e-09,0.000000000000000000e+00,0.000000000000000000e+00
8.392096562289017186e-09,0.000000000000000000e+00,0.000000000000000000e+00
1.433565798393798087e-08,0.000000000000000000e+00,0.000000000000000000e+00
2.239797169457319130e-08,0.000000000000000000e+00,0.000000000000000000e+00
3.281934720382121950e-08,0.000000000000000000e+00,0.000000000000000000e+00
4.581606307034597544e-08,0.000000000000000000e+00,0.000000000000000000e+00
6.158276999694497955e-08,0.000000000000000000e+00,0.000000000000000000e+00
8.029465361613597841e-08,0.000000000000000000e+00,0.000000000000000000e+00
1.021093809971850022e-07,0.000000000000000000e+00,0.000000000000000000e+00
1.271688525024313945e-07,0.000000000000000000e+00,0.000000000000000000e+00
1.556007784579806629e-07,0.000000000000000000e+00,0.000000000000000000e+00
1.875200981573276737e-07,0.000000000000000000e+00,0.000000000000000000e+00
2.230302569646178044e-07,0.000000000000000000e+00,0.000000000000000000e+00
2.622243557075819924e-07,0.000000000000000000e+00,0.000000000000000000e+00
3.051861851311780602e-07,0.000000000000000000e+00,0.000000000000000000e+00
3.519911569058679371e-07,0.000000000000000000e+00,0.000000000000000000e+00
4.027071415350674200e-07,0.000000000000000000e+00,0.000000000000000000e+00
4.573952224718508588e-07,0.000000000000000000e+00,0.000000000000000000e+00
5.161103748239848241e-07,0.000000000000000000e+00,0.000000000000000000e+00
5.789020761884597376e-07,0.000000000000000000e+00,0.000000000000000000e+00
6.458148564025665133e-07,0.000000000000000000e+00,0.000000000000000000e+00
7.168887923198671375e-07,0.000000000000000000e+00,0.000000000000000000e+00
7.921599531085675041e-07,0.000000000000000000e+00,0.000000000000000000e+00
8.716608010200528220e-07,0.000000000000000000e+00,0.000000000000000000e+00
9.554205520805697794e-07,0.000000000000000000e+00,0.000000000000000000e+00
1.043465500713740290e-06,0.000000000000000000e+00,0.000000000000000000e+00
1.135819311900824255e-06,0.000000000000000000e+00,0.000000000000000000e+00
1.232503284124955683e-06,0.000000000000000000e+00,0.000000000000000000e+00
1.333536586020954926e-06,0.000000000000000000e+00,0.000000000000000000e+00
1.438936469360160469e-06,0.000000000000000000e+00,0.000000000000000000e+00
1.548718460736776507e-06,0.000000000000000000e+00,0.000000000000000000e+00
1.662896534085587512e-06,0.000000000000000000e+00,0.000000000000000000e+00
1.781483265947899087e-06,0.000000000000000000e+00,0.000000000000000000e+00
1.904489975210886525e-06,0.000000000000000000e+00,0.000000000000000000e+00
2.031926848873007172e-06,0.000000000000000000e+00,0.000000000000000000e+00
2.163803055232873184e-06,0.000000000000000000e+00,0.000000000000000000e+00
2.300126845759234681e-06,0.000000000000000000e+00,0.000000000000000000e+00
