gyro_bias_x (deg/s),gyro_bias_y (deg/s),gyro_bias_z (deg/s)
0.000000000000000000e+00,-3.995571818588541302e-17,4.877407005112965457e-21
-8.841620354768686338e-03,2.670091014969695475e-01,-4.817751069953063198e-04
-6.906026270556749752e-05,7.321761447160577418e-01,-7.173643069414059516e-05
8.267013807920287668e-05,1.238549992019244428e+00,-1.097440938729538014e-04
-3.219114503499359743e-04,1.697151126162325996e+00,-1.723719101476376152e-04
-2.810408136824940292e-04,1.542669778881332832e+00,-1.560659509723039053e-04
-2.608902218942508620e-04,1.403642313530844454e+00,-1.422800910436808407e-04
-2.369087324865172713e-04,1.278523323618202534e+00,-1.295345218089180117e-04
-2.396600988317588500e-04,1.165921925754565436e+00,-1.193453898508298037e-04
-1.993884642640686455e-04,1.064586392479618837e+00,-1.079021787447417163e-04
-2.347481137375998330e-04,9.733899692958610794e-01,-1.014071254471887696e-04
-2.010328435017755299e-04,8.913191106193321112e-01,-9.203166008294002187e-05
-1.731985400411337509e-04,8.174610738661469700e-01,-8.372757509949076821e-05
-1.477439007129890145e-04,7.509945694189121834e-01,-7.623734494151620947e-05
-1.437203691444456286e-04,6.911804595120505379e-01,-7.048729219058359557e-05
-1.274839867244230744e-04,6.373534873938471179e-01,-6.463273505102070206e-05
-1.457224838508545766e-04,5.889148911460134750e-01,-6.114204756021766440e-05
-1.056072052615492605e-04,5.453258545034964655e-01,-5.495640638054581894e-05
-9.425293048645386987e-05,5.061015328061871932e-01,-5.070785797742712210e-05
-9.917773046933836708e-05,4.708053699598773734e-01,-4.772907294490458230e-05
-9.118600946149215433e-05,4.390445582970316507e-01,-4.438392028521668305e-05
-8.024669811495251483e-05,4.104655536876131716e-01,-4.117818348784774341e-05
-6.668579579207279848e-05,3.847501730415133769e-01,-3.808406581347725703e-05
-6.820396588211471121e-05,3.616120704724389845e-01,-3.604385239736439673e-05
-6.009610873017699745e-05,3.407935040580544195e-01,-3.368936254165536979e-05
-8.177422634107735721e-05,3.220624856725493035e-01,-3.318509467890915740e-05
-7.303300933705077593e-05,3.052103376652360311e-01,-3.118656034329941212e-05
